smiles,m,sigma,epsilon_k,boiling_point_K,sa_score,hfo_distance,n_fluorine,backbone,H_Pa,H_ratio
C/C=C(/F)[C@@H](C)F,3.1857735,3.4676214000000023,203.32693220000007,297.5409689561896,4.265465118981898,0.19915906848332549,2,acyclic_C5,1859144.1277527246,3.8271983738254575e-11
C/C=C(/F)[C@H](C)F,3.1857735,3.4676214000000023,203.32693220000007,297.5409689561896,4.265465118981898,0.19915906848332549,2,acyclic_C5,1859144.1277527246,3.8271983738254575e-11
C/C=C(\F)[C@@H](C)F,3.1857735,3.4676214000000023,203.32693220000007,297.5409689561896,4.265465118981898,0.19915906848332549,2,acyclic_C5,1859144.1277527246,3.8271983738254575e-11
C/C=C(\F)[C@H](C)F,3.1857735,3.4676214000000023,203.32693220000007,297.5409689561896,4.265465118981898,0.19915906848332549,2,acyclic_C5,1859144.1277527246,3.8271983738254575e-11
F/C=C(\F)CCF,3.2748363000000005,3.3967994999999997,196.32647420000004,291.28791540174615,4.220608201908694,0.20147047458417344,3,acyclic_C4,4633249.061372957,9.537917479614256e-11
F/C=C(/F)CCF,3.2748363000000005,3.3967994999999997,196.32647420000004,291.28791540174615,4.220608201908694,0.20147047458417344,3,acyclic_C4,4633249.061372957,9.537917479614256e-11
C=C(F)[C@@](C)(F)CF,3.2566116,3.4613686000000015,198.8531185,295.26752548351567,4.346754721072335,0.2028515078001114,3,acyclic_C5,2733105.3220418636,5.6263180932917826e-11
C=C(F)[C@](C)(F)CF,3.2566116,3.4613686000000015,198.8531185,295.26752548351567,4.346754721072335,0.2028515078001114,3,acyclic_C5,2733105.3220418636,5.6263180932917826e-11
C=C(CC)C(F)F,3.2638301000000003,3.4702090000000023,198.97297600000005,295.98233843188746,3.5113294688770207,0.20541853074269698,2,acyclic_C5,2462196.6101282286,5.068630625056445e-11
C=C(F)C(F)(F)CC,3.2563104999999997,3.4250234000000006,199.7339134,295.539822489285,3.5104273586550008,0.20571974967774356,3,acyclic_C5,2318278.167309178,4.7723628843803316e-11
C/C(=C/F)[C@@H](C)F,3.118637399999999,3.5682182000000022,208.32264980000008,302.7654534846938,4.31862620495475,0.20762418434327062,2,acyclic_C5,1044116.0025469986,2.1493971378449812e-11
C/C(=C/F)[C@H](C)F,3.118637399999999,3.5682182000000022,208.32264980000008,302.7654534846938,4.31862620495475,0.20762418434327062,2,acyclic_C5,1044116.0025469986,2.1493971378449812e-11
C/C(=C\F)[C@H](C)F,3.118637399999999,3.5682182000000022,208.32264980000008,302.7654534846938,4.31862620495475,0.20762418434327062,2,acyclic_C5,1044116.0025469986,2.1493971378449812e-11
C/C(=C\F)[C@@H](C)F,3.118637399999999,3.5682182000000022,208.32264980000008,302.7654534846938,4.31862620495475,0.20762418434327062,2,acyclic_C5,1044116.0025469986,2.1493971378449812e-11
CC(C)=C(F)CF,3.2166319999999997,3.5092762000000026,203.32136570000006,300.22097704402427,3.6840806000987394,0.20778875138349945,2,acyclic_C5,1356909.52885786,2.7933078800891042e-11
CCC(C)=C(F)F,3.233185899999998,3.499981600000001,202.32608680000013,299.5687639769332,3.2649412335829027,0.20838182606054956,2,acyclic_C5,1470695.4827462293,3.027545458114936e-11
C=C(C)CC(F)F,3.270706300000002,3.5243907000000023,199.4000232000002,298.2088177869979,3.2990027720444406,0.2097830112321494,2,acyclic_C5,1987836.341115359,4.0921216911482676e-11
C=CC(F)(F)CC,3.2238364,3.436397900000001,204.1975187,300.06196023576564,3.5789312788317718,0.21240005657749503,2,acyclic_C5,1173796.9566324856,2.4163558578190155e-11
C=C[C@@](C)(F)CF,3.2092174000000018,3.5365813000000013,205.4535529,303.2852947123092,4.463733897262442,0.2148688913635394,2,acyclic_C5,915509.1035548591,1.884649447045768e-11
C=C[C@](C)(F)CF,3.2092174000000018,3.5365813000000013,205.4535529,303.2852947123092,4.463733897262442,0.2148688913635394,2,acyclic_C5,915509.1035548591,1.884649447045768e-11
C=C(F)[C@H](C)C(F)F,3.3498109,3.4878421999999993,192.26704320000002,291.7259503669273,4.306440551031848,0.21558158110612569,3,acyclic_C5,6249318.421723842,1.286472680848555e-10
C=C(F)[C@@H](C)C(F)F,3.3498109,3.4878421999999993,192.26704320000002,291.7259503669273,4.306440551031848,0.21558158110612569,3,acyclic_C5,6249318.421723842,1.286472680848555e-10
C/C(F)=C(\C)CF,3.244291899999999,3.521301900000002,203.4630143000001,302.22545126313014,3.9017258489675175,0.21601290936756465,2,acyclic_C5,1041526.4109042742,2.1440662542539996e-11
C/C(F)=C(/C)CF,3.244291899999999,3.521301900000002,203.4630143000001,302.22545126313014,3.9017258489675175,0.21601290936756465,2,acyclic_C5,1041526.4109042742,2.1440662542539996e-11
C/C=C\[C@@H](F)CF,3.2813695999999997,3.3983115000000015,200.8426371,297.758292275358,4.476380503597282,0.2170521671902065,2,acyclic_C5,,
C/C=C\[C@H](F)CF,3.2813695999999997,3.3983115000000015,200.8426371,297.758292275358,4.476380503597282,0.2170521671902065,2,acyclic_C5,,
C/C=C/[C@@H](F)CF,3.2813695999999997,3.3983115000000015,200.8426371,297.758292275358,4.476380503597282,0.2170521671902065,2,acyclic_C5,,
C/C=C/[C@H](F)CF,3.2813695999999997,3.3983115000000015,200.8426371,297.758292275358,4.476380503597282,0.2170521671902065,2,acyclic_C5,,
CC(C)C=C(F)F,3.1753228999999994,3.541257500000002,207.98794520000013,304.8891616548492,3.3869828625421787,0.21732202242552234,2,acyclic_C5,,
C/C(F)=C(\F)[C@@H](C)F,3.3732145999999994,3.4741161000000007,189.54859240000002,288.8167500888524,4.327756340505532,0.218452953435692,3,acyclic_C5,,
C/C(F)=C(/F)[C@@H](C)F,3.3732145999999994,3.4741161000000007,189.54859240000002,288.8167500888524,4.327756340505532,0.218452953435692,3,acyclic_C5,,
C/C(F)=C(\F)[C@H](C)F,3.3732145999999994,3.4741161000000007,189.54859240000002,288.8167500888524,4.327756340505532,0.218452953435692,3,acyclic_C5,,
C/C(F)=C(/F)[C@H](C)F,3.3732145999999994,3.4741161000000007,189.54859240000002,288.8167500888524,4.327756340505532,0.218452953435692,3,acyclic_C5,,
C=C[C@H](C)C(F)F,3.2148089000000026,3.4965992000000012,206.4557641,303.9950157470971,3.929321227579184,0.21926102135407752,2,acyclic_C5,,
C=C[C@@H](C)C(F)F,3.2148089000000026,3.4965992000000012,206.4557641,303.9950157470971,3.929321227579184,0.21926102135407752,2,acyclic_C5,,
CC(C)C(F)=C(F)F,3.3770977999999987,3.4447866,190.06341690000002,289.05102500208375,3.617880799950547,0.2205396331871439,3,acyclic_C5,,
C/C=C(/C)C(F)F,3.25657,3.4849364000000027,204.33304850000016,303.1657972997812,3.3650489258905942,0.22180278982047097,2,acyclic_C5,,
C/C=C(\C)C(F)F,3.25657,3.4849364000000027,204.33304850000016,303.1657972997812,3.3650489258905942,0.22180278982047097,2,acyclic_C5,,
C=CC[C@H](F)CF,3.282679499999999,3.450760500000001,202.99393559999996,302.00225372192034,4.114557426674207,0.22407021816506573,2,acyclic_C5,,
C=CC[C@@H](F)CF,3.282679499999999,3.450760500000001,202.99393559999996,302.00225372192034,4.114557426674207,0.22407021816506573,2,acyclic_C5,,
CC(F)(F)/C(F)=C/F,3.3603577000000007,3.3429142999999986,194.53344500000006,291.9941744254014,3.8341067108817217,0.22590236702270053,4,acyclic_C4,,
CC(F)(F)/C(F)=C\F,3.3603577000000007,3.3429142999999986,194.53344500000006,291.9941744254014,3.8341067108817217,0.22590236702270053,4,acyclic_C4,,
FC/C=C(\F)CF,3.3169253,3.204398400000001,196.41930140000005,289.0194037595846,4.459854355754848,0.22597876384704615,3,acyclic_C4,,
FC/C=C(/F)CF,3.3169253,3.204398400000001,196.41930140000005,289.0194037595846,4.459854355754848,0.22597876384704615,3,acyclic_C4,,
C=C[C@](C)(F)C(F)F,3.399835799999999,3.4543089000000013,190.3319301,290.7910550306853,4.148696421477194,0.22876474534197336,3,acyclic_C5,,
C=C[C@@](C)(F)C(F)F,3.399835799999999,3.4543089000000013,190.3319301,290.7910550306853,4.148696421477194,0.22876474534197336,3,acyclic_C5,,
C=C(C(F)F)[C@H](C)F,3.3944889999999996,3.4420326000000006,191.45670470000007,291.80045063199844,4.231379822286909,0.22887990647093273,3,acyclic_C5,,
C=C(C(F)F)[C@@H](C)F,3.3944889999999996,3.4420326000000006,191.45670470000007,291.80045063199844,4.231379822286909,0.22887990647093273,3,acyclic_C5,,
C/C(F)=C\CCF,3.299698000000002,3.488409300000002,203.04427670000013,303.8521420255124,3.9087466634471557,0.22932671595583146,2,acyclic_C5,,
C/C(F)=C/CCF,3.299698000000002,3.488409300000002,203.04427670000013,303.8521420255124,3.9087466634471557,0.22932671595583146,2,acyclic_C5,,
C=C(F)[C@@H](C)CF,3.2597290000000014,3.5277501000000013,206.06513690000003,306.72188316808786,4.422056974185519,0.22995251517441123,2,acyclic_C5,,
C=C(F)[C@H](C)CF,3.2597290000000014,3.5277501000000013,206.06513690000003,306.72188316808786,4.422056974185519,0.22995251517441123,2,acyclic_C5,,
CC/C(F)=C(/C)F,3.2613901999999997,3.5078642000000024,206.19775100000007,306.51693469052253,3.7603321838091457,0.23041423330501468,2,acyclic_C5,,
CC/C(F)=C(\C)F,3.2613901999999997,3.5078642000000024,206.19775100000007,306.51693469052253,3.7603321838091457,0.23041423330501468,2,acyclic_C5,,
FC/C(F)=C(\F)CF,3.3933903000000005,3.3182301000000005,191.11124640000006,288.3682326712556,4.258240638007227,0.23115342251801813,4,acyclic_C4,,
FC/C(F)=C(/F)CF,3.3933903000000005,3.3182301000000005,191.11124640000006,288.3682326712556,4.258240638007227,0.23115342251801813,4,acyclic_C4,,
C=CC(F)(F)[C@H](C)F,3.4122019,3.4168284000000004,189.09611800000005,288.80618453175293,4.048931239290957,0.23134857866385444,3,acyclic_C5,,
C=CC(F)(F)[C@@H](C)F,3.4122019,3.4168284000000004,189.09611800000005,288.80618453175293,4.048931239290957,0.23134857866385444,3,acyclic_C5,,
CC(C)(F)/C(F)=C\F,3.3457377999999975,3.531982100000002,199.28223590000002,302.22681711883354,3.7911763465092507,0.23228741180387935,3,acyclic_C5,,
CC(C)(F)/C(F)=C/F,3.3457377999999975,3.531982100000002,199.28223590000002,302.22681711883354,3.7911763465092507,0.23228741180387935,3,acyclic_C5,,
CC=C(CF)CF,3.300187999999999,3.4259719000000013,204.4624919000001,304.3093265788453,4.15773127883177,0.2342149839519116,2,acyclic_C5,,
CCCC=C(F)F,3.3007869,3.3170356000000005,204.01713780000003,301.1236383548618,2.997154355754848,0.23598118860462658,2,acyclic_C5,,
C=CCCC(F)(F)F,3.421972099999999,3.3825173,189.7313384,289.37517169143086,2.6892360226226124,0.23630121868300266,3,acyclic_C5,,
C/C=C(/F)C(C)(F)F,3.3503595999999987,3.457544300000001,201.0022326,303.0257304122885,3.5963172371975105,0.23755586671871473,3,acyclic_C5,,
C/C=C(\F)C(C)(F)F,3.3503595999999987,3.457544300000001,201.0022326,303.0257304122885,3.5963172371975105,0.23755586671871473,3,acyclic_C5,,
C=C(F)CCCF,3.2488873000000007,3.5299469000000006,208.9453346,310.05925638301215,3.697500509601002,0.2384724408141981,2,acyclic_C5,,
C=C[C@@H](F)CCF,3.3211059,3.4845533,204.25075699999994,306.5752232899327,4.481311272828052,0.2394696831462175,2,acyclic_C5,,
C=C[C@H](F)CCF,3.3211059,3.4845533,204.25075699999994,306.5752232899327,4.481311272828052,0.2394696831462175,2,acyclic_C5,,
C/C=C/CC(F)F,3.3461821999999994,3.3973688999999996,202.30855680000005,303.1462378742334,3.421377432677925,0.240803788141915,2,acyclic_C5,,
C/C=C\CC(F)F,3.3461821999999994,3.3973688999999996,202.30855680000005,303.1462378742334,3.421377432677925,0.240803788141915,2,acyclic_C5,,
C/C(=C\F)CC(F)F,3.4321090000000005,3.471346900000001,190.89239620000004,293.56810063171014,3.8835775610841505,0.24081179730732594,3,acyclic_C5,,
C/C(=C/F)CC(F)F,3.4321090000000005,3.471346900000001,190.89239620000004,293.56810063171014,3.8835775610841505,0.24081179730732594,3,acyclic_C5,,
C/C(=C\F)CCF,3.3371850000000007,3.578146200000002,202.98385810000008,307.94138604837116,3.908885124985617,0.24252381291056105,2,acyclic_C5,,
C/C(=C/F)CCF,3.3371850000000007,3.578146200000002,202.98385810000008,307.94138604837116,3.908885124985617,0.24252381291056105,2,acyclic_C5,,
C/C(=C/CF)CF,3.3514325,3.3748141000000014,203.07213740000003,303.92541598040265,4.013746663447155,0.24526390980049248,2,acyclic_C5,,
C/C(=C\CF)CF,3.3514325,3.3748141000000014,203.07213740000003,303.92541598040265,4.013746663447155,0.24526390980049248,2,acyclic_C5,,
CC/C(F)=C/CF,3.3442839999999996,3.3783138000000013,204.05235320000003,304.9727651374507,4.033823586524078,0.24623288171475355,2,acyclic_C5,,
CC/C(F)=C\CF,3.3442839999999996,3.3783138000000013,204.05235320000003,304.9727651374507,4.033823586524078,0.24623288171475355,2,acyclic_C5,,
CC(C)(F)C=C(F)F,3.4310536,3.583054400000001,192.9471522000001,298.98038733957645,3.8630014477238257,0.24690852707832373,3,acyclic_C5,,
C/C(F)=C/C(C)(F)F,3.4014223000000006,3.455882400000001,199.13109450000007,303.08202690690064,3.7644824193837447,0.24816854643392447,3,acyclic_C5,,
C/C(F)=C\C(C)(F)F,3.4014223000000006,3.455882400000001,199.13109450000007,303.08202690690064,3.7644824193837447,0.24816854643392447,3,acyclic_C5,,
CC(F)=C(CF)CF,3.3781828999999983,3.4311377000000003,201.75934990000005,304.9138887539241,4.3059683303149185,0.24833351921470806,3,acyclic_C5,,
C=CC(CF)CF,3.3645693000000008,3.4356239000000004,203.26072700000003,306.37005274333035,4.191254355754847,0.24877471990619507,2,acyclic_C5,,
CC[C@@H](F)/C(F)=C\F,3.4597501999999993,3.514562599999999,189.8076742,294.41812586753747,4.492496785849662,0.24927857852244734,3,acyclic_C5,,
CC[C@H](F)/C(F)=C\F,3.4597501999999993,3.514562599999999,189.8076742,294.41812586753747,4.492496785849662,0.24927857852244734,3,acyclic_C5,,
CC[C@@H](F)/C(F)=C/F,3.4597501999999993,3.514562599999999,189.8076742,294.41812586753747,4.492496785849662,0.24927857852244734,3,acyclic_C5,,
CC[C@H](F)/C(F)=C/F,3.4597501999999993,3.514562599999999,189.8076742,294.41812586753747,4.492496785849662,0.24927857852244734,3,acyclic_C5,,
C/C=C(\F)CCF,3.3524534,3.5369013000000002,204.50448670000003,309.87253799784514,3.8560928172933098,0.25036932020239916,2,acyclic_C5,,
C/C=C(/F)CCF,3.3524534,3.5369013000000002,204.50448670000003,309.87253799784514,3.8560928172933098,0.25036932020239916,2,acyclic_C5,,
C=C(F)CC(C)(F)F,3.319694000000001,3.4511767000000013,207.8988114,310.6560233315355,3.6010322169545947,0.2517876715771878,3,acyclic_C5,,
CCCC(F)=C(F)F,3.456874199999998,3.3991664,192.47843500000008,295.3490792572999,3.0886075610841504,0.25235701498704055,3,acyclic_C5,,
CC(CCF)=C(F)F,3.452001,3.4190630000000004,193.59351310000008,297.10474997488154,3.5915621764687664,0.25244760644611186,3,acyclic_C5,,
C/C(F)=C(/C)C(F)F,3.4721182000000006,3.4565360999999997,190.21217339999998,294.2482851287202,3.7555261440801004,0.25349322852471584,3,acyclic_C5,,
C/C(F)=C(\C)C(F)F,3.4721182000000006,3.4565360999999997,190.21217339999998,294.2482851287202,3.7555261440801004,0.25349322852471584,3,acyclic_C5,,
CC/C(=C\F)C(F)F,3.4734388000000007,3.4744177,190.20757080000004,294.73140011559434,3.954372945699535,0.2540227028265617,3,acyclic_C5,,
CC/C(=C/F)C(F)F,3.4734388000000007,3.4744177,190.20757080000004,294.73140011559434,3.954372945699535,0.2540227028265617,3,acyclic_C5,,
C=C(F)C(F)(F)CF,3.447095900000001,3.2381855999999978,191.17903240000007,289.21504177431456,3.9367431481286843,0.2540287990704394,4,acyclic_C4,,
C/C(F)=C\CC(F)F,3.4622100999999996,3.3161223,190.84250800000007,291.35005050225226,3.737542176468766,0.2540888675835586,3,acyclic_C5,,
C/C(F)=C/CC(F)F,3.4622100999999996,3.3161223,190.84250800000007,291.35005050225226,3.737542176468766,0.2540888675835586,3,acyclic_C5,,
C/C=C\[C@H](F)C(F)F,3.4799894999999994,3.355112800000002,188.16662790000007,289.3810257443717,4.28494986277274,0.25505812542311185,3,acyclic_C5,,
C/C=C/[C@H](F)C(F)F,3.4799894999999994,3.355112800000002,188.16662790000007,289.3810257443717,4.28494986277274,0.25505812542311185,3,acyclic_C5,,
C/C=C/[C@@H](F)C(F)F,3.4799894999999994,3.355112800000002,188.16662790000007,289.3810257443717,4.28494986277274,0.25505812542311185,3,acyclic_C5,,
C/C=C\[C@@H](F)C(F)F,3.4799894999999994,3.355112800000002,188.16662790000007,289.3810257443717,4.28494986277274,0.25505812542311185,3,acyclic_C5,,
C=C(CF)C(C)(F)F,3.4078589999999997,3.4206299000000002,200.94512420000004,305.0944774126096,3.7244087351732187,0.2552418969819148,3,acyclic_C5,,
C=CCCC(F)F,3.3575395,3.4174889000000017,206.31581220000004,309.73194002841655,3.0729158942163863,0.2568848055295695,2,acyclic_C5,,
CC/C=C\C(F)(F)F,3.4896743999999997,3.3756378000000002,188.04313910000005,290.1519620473523,3.042153714930304,0.257705620557603,3,acyclic_C5,,
CC/C=C/C(F)(F)F,3.4896743999999997,3.3756378000000002,188.04313910000005,290.1519620473523,3.042153714930304,0.257705620557603,3,acyclic_C5,,
C=C(CF)CCF,3.3470193999999998,3.4785630000000003,207.4450495,312.20236284870964,3.964915894216386,0.257765836642421,2,acyclic_C5,,
C=C[C@@H](F)C(C)(F)F,3.4849571,3.404055900000001,190.94710490000006,294.69157737537313,4.241086704878002,0.2593945437807513,3,acyclic_C5,,
C=C[C@H](F)C(C)(F)F,3.4849571,3.404055900000001,190.94710490000006,294.69157737537313,4.241086704878002,0.2593945437807513,3,acyclic_C5,,
C/C=C(/F)CC(F)F,3.483494999999999,3.381262000000001,191.09083780000003,294.27718684062086,3.89653756108415,0.259548358713713,3,acyclic_C5,,
C/C=C(\F)CC(F)F,3.483494999999999,3.381262000000001,191.09083780000003,294.27718684062086,3.89653756108415,0.259548358713713,3,acyclic_C5,,
C=C(CCF)C(F)F,3.472995,3.3738314000000007,193.62011470000007,297.1148548397616,3.8669552533918434,0.2604033494354585,3,acyclic_C5,,
C=CC(F)(CF)CF,3.4453237999999997,3.4141113000000005,198.70764750000006,303.760801919257,4.422033714930304,0.2613751710139854,3,acyclic_C5,,
C[C@@H](F)C/C=C/F,3.3976083999999998,3.5253803000000024,203.99723500000005,311.31660030893886,4.462157426674207,0.26173826198161987,2,acyclic_C5,,
C[C@H](F)C/C=C\F,3.3976083999999998,3.5253803000000024,203.99723500000005,311.31660030893886,4.462157426674207,0.26173826198161987,2,acyclic_C5,,
C[C@@H](F)C/C=C\F,3.3976083999999998,3.5253803000000024,203.99723500000005,311.31660030893886,4.462157426674207,0.26173826198161987,2,acyclic_C5,,
C[C@H](F)C/C=C/F,3.3976083999999998,3.5253803000000024,203.99723500000005,311.31660030893886,4.462157426674207,0.26173826198161987,2,acyclic_C5,,
CC/C(F)=C\C(F)F,3.4937851,3.4011121,191.24314310000008,295.4341117081813,3.86998756108415,0.2629328434615595,3,acyclic_C5,,
CC/C(F)=C/C(F)F,3.4937851,3.4011121,191.24314310000008,295.4341117081813,3.86998756108415,0.2629328434615595,3,acyclic_C5,,
C=C(C)C(F)(F)CF,3.450320099999999,3.425300100000001,198.786435,304.4007892077066,3.7051698687764576,0.26306318483074836,3,acyclic_C5,,
CC[C@@H](F)C=C(F)F,3.4906667,3.416464199999999,192.2603335000001,297.0927488339394,4.367106016618893,0.2632664820990582,3,acyclic_C5,,
CC[C@H](F)C=C(F)F,3.4906667,3.416464199999999,192.2603335000001,297.0927488339394,4.367106016618893,0.2632664820990582,3,acyclic_C5,,
CC(C)=C(F)C(F)F,3.4999298999999984,3.4452145000000014,190.82241789999998,296.1886604905855,3.5737917311246363,0.26401540866773454,3,acyclic_C5,,
CC/C(=C/F)CF,3.3932891000000005,3.521325300000002,205.24414670000002,312.71531777927396,3.865146663447156,0.2642651555699406,2,acyclic_C5,,
CC/C(=C\F)CF,3.3932891000000005,3.521325300000002,205.24414670000002,312.71531777927396,3.865146663447156,0.2642651555699406,2,acyclic_C5,,
CC(=C(F)F)[C@H](C)F,3.495452999999999,3.472091999999999,192.16456380000008,298.506235603099,4.082460793946828,0.2646111771605041,3,acyclic_C5,,
CC(=C(F)F)[C@@H](C)F,3.495452999999999,3.472091999999999,192.16456380000008,298.506235603099,4.082460793946828,0.2646111771605041,3,acyclic_C5,,
F/C=C\C(F)(F)CF,3.451773,3.324336799999998,198.22156040000004,301.2742320665558,4.359400638007227,0.2646638159508138,4,acyclic_C4,,
F/C=C/C(F)(F)CF,3.451773,3.324336799999998,198.22156040000004,301.2742320665558,4.359400638007227,0.2646638159508138,4,acyclic_C4,,
C/C(=C\CF)C(F)F,3.482487,3.262158800000001,192.00792900000005,292.67530978783594,3.9442514072379966,0.2656071051268744,3,acyclic_C5,,
C/C(=C/CF)C(F)F,3.482487,3.262158800000001,192.00792900000005,292.67530978783594,3.9442514072379966,0.2656071051268744,3,acyclic_C5,,
C=CCC(F)(F)CF,3.4512905999999997,3.3663791999999995,199.42634760000004,303.91183119611816,3.612968330314919,0.2659966961136152,3,acyclic_C5,,
CCC(CF)=C(F)F,3.495205299999999,3.4115239,192.9746699000001,298.2071656922974,3.8683190995456886,0.26607842639110774,3,acyclic_C5,,
C/C(=C\F)C(C)(F)F,3.4499431999999994,3.475678900000001,200.10509979999998,307.4445851856077,3.70455772302747,0.26620384616432907,3,acyclic_C5,,
C/C(=C/F)C(C)(F)F,3.4499431999999994,3.475678900000001,200.10509979999998,307.4445851856077,3.70455772302747,0.26620384616432907,3,acyclic_C5,,
CC/C=C(/F)CF,3.4008966,3.2794089000000004,204.11379900000009,305.6271821603719,3.8917005096010024,0.26694905782289774,2,acyclic_C5,,
CC/C=C(\F)CF,3.4008966,3.2794089000000004,204.11379900000009,305.6271821603719,3.8917005096010024,0.26694905782289774,2,acyclic_C5,,
C=C(F)C(CF)CF,3.4585487,3.4593853,199.6156601,306.8118766144761,4.3974014072379966,0.2676460369342767,3,acyclic_C5,,
CC/C=C\C(F)F,3.440089500000001,3.3664823,201.48263760000006,306.2006915687989,3.288292817293309,0.26778085433960785,2,acyclic_C5,,
CC/C=C/C(F)F,3.440089500000001,3.3664823,201.48263760000006,306.2006915687989,3.288292817293309,0.26778085433960785,2,acyclic_C5,,
C/C=C(/CF)C(F)F,3.5005233999999996,3.3534783000000004,192.47471720000004,296.37810742789895,4.030582176468766,0.26831998472881263,3,acyclic_C5,,
